20210222;137000;5131409;704842
20210219;133000;6986526;914800
20210218;126000;3792425;481975
20210217;130000;3621178;468148
20210216;132500;3218689;425573
20210215;132000;5384526;706594
20210210;126000;4262526;535407
20210209;125500;5177095;661250
20210208;125000;2876471;363163
20210205;127500;3497303;441554
20210204;125000;4600618;577966
20210203;130000;3693688;480587
20210202;130000;4880067;633539
20210201;125000;5620305;690136
20210129;122500;7391307;921708
20210128;123000;6270829;774836
20210127;128500;5068456;656028
20210126;129000;6270106;816275
20210125;135000;5061864;675658
20210122;128500;3927767;511060
20210121;131500;3067677;402668
20210120;130500;4913282;649021
20210119;130500;4513315;589182
20210118;130000;5927419;758360
20210115;127500;4838114;627291
20210114;130500;5380278;702426
20210113;133000;6791044;891281
20210112;129000;8700877;1121945
20210111;133000;11154671;1509734
20210108;138000;8713010;1181149
20210107;134500;5981299;810153
20210106;131000;8525749;1132130
20210105;130500;7180224;920711
20210104;126000;7995016;994277
20201230;118500;4195192;489962
20201229;116000;4208916;488462
20201228;115500;4825132;567198
20201224;118000;3486636;409772
20201223;116000;3173156;363208
20201222;112500;4270842;485296
20201221;116000;3585805;414707
20201218;118500;3010798;355948
20201217;119500;3649945;432270
20201216;117500;2213552;260553
20201215;117500;2755902;321350
20201214;117000;3066761;359109
20201211;115500;3944552;458289
20201210;116500;8205744;959915
20201209;120500;5490760;651045
20201208;115000;4536460;524961
20201207;118000;5191354;613379
20201204;115000;8258814;958025
20201203;111500;6617912;735574
20201202;109000;7488361;803615
20201201;100500;4455519;446056
20201130;97500;3877841;379628
20201127;98800;1976047;195380
20201126;99400;2933290;288277
20201125;97200;4081524;400556
20201124;98600;3766043;375182
20201123;100000;4149013;413916
20201120;96800;2424003;236121
20201119;98200;2766688;269481
20201118;98000;3734037;366663
20201117;98100;5218295;513426
20201116;98000;9274278;885204
20201113;89700;3774278;337060
20201112;88100;4006433;351888
20201111;87000;2638617;229020
20201110;86500;2849783;246334
20201109;86000;2444330;211176
20201106;86300;2863808;247945
20201105;86100;4082325;348614
20201104;83200;3782296;313472
20201103;81400;2057723;166104
20201102;79600;2000394;159651
20201030;79900;2710477;219065
20201029;81700;2637314;214753
20201028;82900;1773556;146796
20201027;82600;2265817;187252
20201026;83200;1662847;139286
20201023;83900;2609595;218628
20201022;83300;2593975;215562
20201021;83800;4925877;414314
20201020;85200;6622637;567966
20201019;86700;3150011;274650
20201016;85300;2435541;209687
20201015;87100;2802900;242746
20201014;86500;3223767;281533
20201013;88200;6375448;553189
20201012;85500;4464264;379389
20201008;82900;3330824;277460
20201007;83400;2254356;187490
20201006;83000;2750145;228786
20201005;83200;3396894;282884
20200929;84000;4707898;396447
20200928;82500;3154068;259586
20200925;82900;3205596;268532
20200924;84300;6401560;541562
20200923;83600;4439085;367169
20200922;81300;4139983;340341
20200921;84500;4102947;346937
20200918;83700;5199334;432539
20200917;82200;4055050;332692
20200916;81500;3119110;253675
20200915;81900;5899410;481035
20200914;80000;4099644;326791
20200911;78400;2831262;219992
20200910;76600;3541520;272691
20200909;77300;3918435;305037
20200908;79400;3380355;267737
20200907;78400;2786930;218350
20200904;78700;4582566;357748
20200903;78700;7002529;551334
20200902;75500;2369360;178744
20200901;75200;2538676;191846
20200831;75100;5113128;388582
20200828;77800;2511956;196421
20200827;79100;4223450;335794
20200826;78800;4741965;371646
20200825;77000;3473488;266311
20200824;75500;4298619;326759
20200821;74500;7700029;573841
20200820;71800;7260223;525176
20200819;75000;8028305;609791
20200818;78100;4946279;391556
20200814;80200;2589552;207896
20200813;80700;4049387;328483
20200812;81000;3595828;289642
20200811;81300;3234013;263787
20200810;81400;3277238;265033
20200807;80600;4946631;397344
20200806;81100;3391939;275353
20200805;80700;4537005;366305
20200804;81600;3005937;245898
20200803;81800;3483106;285293
20200731;82800;4848989;405627
20200730;85300;6870841;581216
20200729;83200;3719681;309548
20200728;83100;4538720;378148
20200727;82800;2784652;231629
20200724;83700;3667416;304393
